organism_name,infraspecific_name,species,genus,family,order,class,phylum,superkingdom
Leuconostoc suionicum,strain=DSM 20241,Leuconostoc suionicum,Leuconostoc,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Levilactobacillus brevis,strain=BDGP6,Levilactobacillus brevis,Levilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Candidatus Liberibacter asiaticus,,Candidatus Liberibacter asiaticus,Liberibacter,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Lichenicola cladoniae,strain=PAMC 26569,Lichenicola cladoniae,Lichenicola,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
Ligilactobacillus animalis,strain=LL1,Ligilactobacillus animalis,Ligilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Limihaloglobus sulfuriphilus,strain=SM-Chi-D1,Limihaloglobus sulfuriphilus,Limihaloglobus,Sedimentisphaeraceae,Sedimentisphaerales,Phycisphaerae,Planctomycetes,Bacteria
Limnochorda pilosa,strain=HC45,Limnochorda pilosa,Limnochorda,Limnochordaceae,Limnochordales,Limnochordia,Firmicutes,Bacteria
Limnohabitans sp. 63ED37-2,strain=63ED37-2,Limnohabitans sp. 63ED37-2,Limnohabitans,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Limosilactobacillus fermentum,strain=SNUV175,Limosilactobacillus fermentum,Limosilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Liquorilactobacillus hordei,strain=TMW 1.1822,Liquorilactobacillus hordei,Liquorilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Listeria monocytogenes,strain=HPB2088,Listeria monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Litoricola lipolytica,strain=IMCC 1097,Litoricola lipolytica,Litoricola,Litoricolaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
Litorilituus sediminis,strain=JCM 17549,Litorilituus sediminis,Litorilituus,Colwelliaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Loigolactobacillus coryniformis,strain=CBA3616,Loigolactobacillus coryniformis,Loigolactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Lonsdalea populi,strain=N-5-1,Lonsdalea populi,Lonsdalea,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Luteibacter rhizovicinus DSM 16549,strain=LJ96,Luteibacter rhizovicinus,Luteibacter,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Luteimicrobium xylanilyticum,strain=HY-24,Luteimicrobium xylanilyticum,Luteimicrobium,,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Luteimonas granuli,strain=Gr-4,Luteimonas granuli,Luteimonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Luteipulveratus mongoliensis,strain=MN07-A0370,Luteipulveratus mongoliensis,Luteipulveratus,Dermacoccaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Luteitalea pratensis,strain=DSM 100886,Luteitalea pratensis,Luteitalea,Vicinamibacteraceae,,Vicinamibacteria,Acidobacteria,Bacteria
Lutibacter profundi,strain=LP1,Lutibacter profundi,Lutibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Lysinibacillus fusiformis,strain=RB-21,Lysinibacillus fusiformis,Lysinibacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Lysobacter antibioticus,strain=ATCC 29479,Lysobacter antibioticus,Lysobacter,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Macrococcus caseolyticus,strain=FDAARGOS_868,Macrococcus caseolyticus,Macrococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Mageeibacillus indolicus UPII9-5,strain=UPII9-5,Mageeibacillus indolicus,Mageeibacillus,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Magnetococcus marinus MC-1,strain=MC-1,Magnetococcus marinus,Magnetococcus,Magnetococcaceae,Magnetococcales,Alphaproteobacteria,Proteobacteria,Bacteria
Magnetospira sp. QH-2,strain=QH-2,Magnetospira sp. QH-2,Magnetospira,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
Magnetospirillum sp. ME-1,strain=ME-1,Magnetospirillum sp. ME-1,Magnetospirillum,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
Mahella australiensis 50-1 BON,strain=50-1 BON,Mahella australiensis,Mahella,Thermoanaerobacterales Family IV. Incertae Sedis,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria
Malaciobacter halophilus,strain=CCUG 53805,Malaciobacter halophilus,Malaciobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
Mameliella alba,strain=KU6B,Mameliella alba,Mameliella,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Mammaliicoccus sciuri,strain=NWAF26,Mammaliicoccus sciuri,Mammaliicoccus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Mannheimia pernigra,strain=BNO311,Mannheimia pernigra,Mannheimia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
Maribacter cobaltidurans,strain=B1,Maribacter cobaltidurans,Maribacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Maricaulis maris MCS10,strain=MCS10,Maricaulis maris,Maricaulis,Maricaulaceae,Maricaulales,Alphaproteobacteria,Proteobacteria,Bacteria
Marichromatium purpuratum 984,strain=984,Marichromatium purpuratum,Marichromatium,Chromatiaceae,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria
Desulfovibrio salexigens DSM 2638,strain=DSM 2638,Maridesulfovibrio salexigens,Maridesulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
Mariniblastus fucicola,strain=FC18,Mariniblastus fucicola,Mariniblastus,Pirellulaceae,Pirellulales,Planctomycetia,Planctomycetes,Bacteria
Marinicauda algicola,strain=RMAR8-3,Marinicauda algicola,Marinicauda,Maricaulaceae,Maricaulales,Alphaproteobacteria,Proteobacteria,Bacteria
Mariniflexile sp. TRM1-10,strain=TRM1-10,Mariniflexile sp. TRM1-10,Mariniflexile,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Marinilactibacillus sp. 15R,strain=15R,Marinilactibacillus sp. 15R,Marinilactibacillus,Carnobacteriaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Marinithermus hydrothermalis DSM 14884,strain=DSM 14884,Marinithermus hydrothermalis,Marinithermus,Thermaceae,Thermales,Deinococci,Deinococcus-Thermus,Bacteria
Marinitoga piezophila KA3,strain=KA3,Marinitoga piezophila,Marinitoga,Petrotogaceae,Petrotogales,Thermotogae,Thermotogae,Bacteria
Marinobacter salarius,strain=SMR5,Marinobacter salarius,Marinobacter,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Marinobacterium georgiense,strain=IC961,Marinobacterium georgiense,Marinobacterium,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
Marinomonas primoryensis,strain=MPKMM3633,Marinomonas primoryensis,Marinomonas,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
Marinovum algicola DG 898,strain=DG 898,Marinovum algicola,Marinovum,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Mariprofundus aestuarium,strain=CP-5,Mariprofundus aestuarium,Mariprofundus,Mariprofundaceae,Mariprofundales,Zetaproteobacteria,Proteobacteria,Bacteria
Marisediminicola antarctica,strain=ZS314,Marisediminicola antarctica,Marisediminicola,Microbacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Maritalea myrionectae,strain=HL2708#5,Maritalea myrionectae,Maritalea,Devosiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Marivirga tractuosa DSM 4126,strain=DSM 4126,Marivirga tractuosa,Marivirga,Marivirgaceae,Cytophagales,Cytophagia,Bacteroidetes,Bacteria
Marivivens sp. JLT3646,strain=JLT3646,Marivivens sp. JLT3646,Marivivens,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
Martelella sp. AD-3,strain=AD-3,Martelella sp. AD-3,Martelella,Aurantimonadaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Massilia plicata,strain=DSM 17505,Massilia plicata,Massilia,Oxalobacteraceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
[Ruminococcus] gnavus,strain=FDAARGOS_1342,[Ruminococcus] gnavus,Mediterraneibacter,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Bacteria
Megamonas hypermegale,strain=NCTC10570,Megamonas hypermegale,Megamonas,Selenomonadaceae,Selenomonadales,Negativicutes,Firmicutes,Bacteria
Megasphaera elsdenii,strain=NCIMB702410,Megasphaera elsdenii,Megasphaera,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes,Bacteria
Meiothermus taiwanensis WR-220,strain=WR-220,Meiothermus taiwanensis,Meiothermus,Thermaceae,Thermales,Deinococci,Deinococcus-Thermus,Bacteria
Melioribacter roseus P3M-2,strain=P3M-2,Melioribacter roseus,Melioribacter,Melioribacteraceae,Ignavibacteriales,Ignavibacteria,Ignavibacteriae,Bacteria
Melissococcus plutonius,strain=DAT585,Melissococcus plutonius,Melissococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
Melittangium boletus DSM 14713,strain=DSM 14713,Melittangium boletus,Melittangium,Archangiaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria
Mesobacillus foraminis,strain=Bac44,Mesobacillus foraminis,Mesobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Mesoplasma syrphidae,strain=YJS,Mesoplasma syrphidae,Mesoplasma,Entomoplasmataceae,Entomoplasmatales,Mollicutes,Tenericutes,Bacteria
Mesorhizobium erdmanii,strain=NZP2014,Mesorhizobium erdmanii,Mesorhizobium,Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Mesotoga prima MesG1.Ag.4.2,strain=mesG1.Ag.4.2,Mesotoga prima,Mesotoga,Kosmotogaceae,Kosmotogales,Thermotogae,Thermotogae,Bacteria
Metabacillus litoralis,strain=Bac94,Metabacillus litoralis,Metabacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
Metallosphaera sedula,strain=ARS50-1,Metallosphaera sedula,Metallosphaera,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,Archaea
Methanobacterium subterraneum,strain=MO-MB1,Methanobacterium subterraneum,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea
Methanobrevibacter smithii ATCC 35061,strain=ATCC 35061; PS; DSMZ 861,Methanobrevibacter smithii,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea
Methanocaldococcus jannaschii DSM 2661,strain=DSM 2661,Methanocaldococcus jannaschii,Methanocaldococcus,Methanocaldococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea
Methanocella paludicola SANAE,strain=SANAE,Methanocella paludicola,Methanocella,Methanocellaceae,Methanocellales,Methanomicrobia,Euryarchaeota,Archaea
Methanococcoides burtonii DSM 6242,strain=DSM 6242,Methanococcoides burtonii,Methanococcoides,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea
Methanococcus maripaludis S2,strain=S2,Methanococcus maripaludis,Methanococcus,Methanococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea
Methanocorpusculum labreanum Z,strain=Z,Methanocorpusculum labreanum,Methanocorpusculum,Methanocorpusculaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea
Methanoculleus bourgensis,,Methanoculleus bourgensis,Methanoculleus,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea
Methanofervidicoccus sp. A16,strain=A16,Methanofervidicoccus sp. A16,Methanofervidicoccus,,Methanococcales,Methanococci,Euryarchaeota,Archaea
Methanohalobium evestigatum Z-7303,strain=Z-7303,Methanohalobium evestigatum,Methanohalobium,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea
Methanohalophilus mahii DSM 5219,strain=DSM 5219,Methanohalophilus mahii,Methanohalophilus,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea
Methanolacinia petrolearia DSM 11571,,Methanolacinia petrolearia,Methanolacinia,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea
Methanolobus zinderi,strain=DSM 21339,Methanolobus zinderi,Methanolobus,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,strain=Issoire-Mx1,Candidatus Methanomassiliicoccus intestinalis,Methanomassiliicoccus,Methanomassiliicoccaceae,Methanomassiliicoccales,Thermoplasmata,Candidatus Thermoplasmatota,Archaea
Methanomethylovorans hollandica DSM 15978,strain=DSM 15978,Methanomethylovorans hollandica,Methanomethylovorans,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea
Methanopyrus kandleri AV19,strain=AV19,Methanopyrus kandleri,Methanopyrus,Methanopyraceae,Methanopyrales,Methanopyri,Euryarchaeota,Archaea
Methanoregula boonei 6A8,strain=6A8,Methanoregula boonei,Methanoregula,Methanoregulaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea
Methanosalsum zhilinae DSM 4017,strain=DSM 4017,Methanosalsum zhilinae,Methanosalsum,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea
Methanosarcina thermophila TM-1,strain=TM-1,Methanosarcina thermophila,Methanosarcina,Methanosarcinaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea
Methanosphaera sp. BMS,strain=BMS,Methanosphaera sp. BMS,Methanosphaera,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea
Methanosphaerula palustris E1-9c,strain=E1-9c,Methanosphaerula palustris,Methanosphaerula,Methanoregulaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea
Methanospirillum hungatei JF-1,strain=JF-1,Methanospirillum hungatei,Methanospirillum,Methanospirillaceae,Methanomicrobiales,Methanomicrobia,Euryarchaeota,Archaea
Methanothermobacter thermautotrophicus str. Delta H,strain=Delta H,Methanothermobacter thermautotrophicus,Methanothermobacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea
Methanothermococcus okinawensis IH1,strain=IH1,Methanothermococcus okinawensis,Methanothermococcus,Methanococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea
Methanothermus fervidus DSM 2088,strain=DSM 2088,Methanothermus fervidus,Methanothermus,Methanothermaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,Archaea
Methanothrix thermoacetophila PT,strain=PT,Methanothrix thermoacetophila,Methanothrix,Methanotrichaceae,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea
Methanotorris igneus Kol 5,strain=Kol 5,Methanotorris igneus,Methanotorris,Methanocaldococcaceae,Methanococcales,Methanococci,Euryarchaeota,Archaea
Methylacidiphilum infernorum V4,strain=V4,Methylacidiphilum infernorum,Methylacidiphilum,Methylacidiphilaceae,Methylacidiphilales,Methylacidiphilae,Verrucomicrobia,Bacteria
Methylibium petroleiphilum PM1,strain=PM1,Methylibium petroleiphilum,Methylibium,,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Methylobacillus flagellatus KT,strain=KT,Methylobacillus flagellatus,Methylobacillus,Methylophilaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria,Bacteria
Methylobacterium sp. AMS5,strain=AMS5,Methylobacterium sp. AMS5,Methylobacterium,Methylobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Methylocaldum marinum,strain=S8,Methylocaldum marinum,Methylocaldum,Methylococcaceae,Methylococcales,Gammaproteobacteria,Proteobacteria,Bacteria
Methyloceanibacter caenitepidi,strain=Gela4,Methyloceanibacter caenitepidi,Methyloceanibacter,Hyphomicrobiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Methylocella tundrae,,Methylocella tundrae,Methylocella,Beijerinckiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Methylococcus capsulatus str. Bath,strain=Bath,Methylococcus capsulatus,Methylococcus,Methylococcaceae,Methylococcales,Gammaproteobacteria,Proteobacteria,Bacteria
Methylocystis rosea,strain=GW6,Methylocystis rosea,Methylocystis,Methylocystaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Methylomicrobium sp. wino1,strain=wino1,Methylomicrobium sp. wino1,Methylomicrobium,Methylococcaceae,Methylococcales,Gammaproteobacteria,Proteobacteria,Bacteria
Methylomonas koyamae,strain=LM6,Methylomonas koyamae,Methylomonas,Methylococcaceae,Methylococcales,Gammaproteobacteria,Proteobacteria,Bacteria
Methylomusa anaerophila,strain=MMFC1,Methylomusa anaerophila,Methylomusa,Sporomusaceae,Selenomonadales,Negativicutes,Firmicutes,Bacteria
Methylophaga nitratireducenticrescens,strain=JAM1,Methylophaga nitratireducenticrescens,Methylophaga,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria
Methylophilus sp. TWE2,strain=TWE2,Methylophilus sp. TWE2,Methylophilus,Methylophilaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria,Bacteria
Methylorubrum populi,strain=YC-XJ1,Methylorubrum populi,Methylorubrum,Methylobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Methylosinus trichosporium OB3b,strain=OB3b,Methylosinus trichosporium,Methylosinus,Methylocystaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Methylotenera mobilis JLW8,strain=JLW8,Methylotenera mobilis,Methylotenera,Methylophilaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria,Bacteria
Methylotuvimicrobium buryatense,strain=5GB1C,Methylotuvimicrobium buryatense,Methylotuvimicrobium,Methylococcaceae,Methylococcales,Gammaproteobacteria,Proteobacteria,Bacteria
Methyloversatilis sp. RAC08,strain=RAC08,Methyloversatilis sp. RAC08,Methyloversatilis,Sterolibacteriaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria,Bacteria
Methylovirgula ligni,strain=BW863,Methylovirgula ligni,Methylovirgula,Beijerinckiaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Methylovorus glucosetrophus SIP3-4,strain=SIP3-4,Methylovorus glucosotrophus,Methylovorus,Methylophilaceae,Nitrosomonadales,Betaproteobacteria,Proteobacteria,Bacteria
Methylovulum psychrotolerans,strain=HV10_M2,Methylovulum psychrotolerans,Methylovulum,Methylococcaceae,Methylococcales,Gammaproteobacteria,Proteobacteria,Bacteria
Micavibrio aeruginosavorus ARL-13,strain=ARL-13,Micavibrio aeruginosavorus,Micavibrio,,,Alphaproteobacteria,Proteobacteria,Bacteria
Microbacterium oxydans,strain=HG3,Microbacterium oxydans,Microbacterium,Microbacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Microbulbifer hydrolyticus,strain=IRE-31,Microbulbifer hydrolyticus,Microbulbifer,Microbulbiferaceae,Cellvibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
Microcella alkaliphila,strain=JAM-AC0309,Microcella alkaliphila,Microcella,Microbacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Micrococcus luteus,strain=FDAARGOS_677,Micrococcus luteus,Micrococcus,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Microcoleus sp. PCC 7113,strain=PCC 7113,Microcoleus sp. PCC 7113,Microcoleus,Microcoleaceae,Oscillatoriales,,Cyanobacteria,Bacteria
Microcystis aeruginosa NIES-298,strain=NIES-298,Microcystis aeruginosa,Microcystis,Microcystaceae,Chroococcales,,Cyanobacteria,Bacteria
Microlunatus phosphovorus NM-1,strain=NM-1,Microlunatus phosphovorus,Microlunatus,Propionibacteriaceae,Propionibacteriales,Actinomycetia,Actinobacteria,Bacteria
Micromonospora carbonacea,strain=aurantiaca,Micromonospora carbonacea,Micromonospora,Micromonosporaceae,Micromonosporales,Actinomycetia,Actinobacteria,Bacteria
Micropruina glycogenica,,Micropruina glycogenica,Micropruina,Nocardioidaceae,Propionibacteriales,Actinomycetia,Actinobacteria,Bacteria
Microterricola viridarii,strain=ERGS5:02,Microterricola viridarii,Microterricola,Microbacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,Bacteria
Microvirga ossetica,strain=V5/3m,Microvirga ossetica,Microvirga,Methylobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,Bacteria
Minicystis rosea,strain=DSM 24000,Minicystis rosea,Minicystis,,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria
Mitsuaria sp. 7,strain=7,Mitsuaria sp. 7,Mitsuaria,,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Mixta intestinalis,strain=SRCM103226,Mixta intestinalis,Mixta,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Mobiluncus curtisii,strain=FDAARGOS_1128,Mobiluncus curtisii,Mobiluncus,Actinomycetaceae,Actinomycetales,Actinomycetia,Actinobacteria,Bacteria
Modestobacter marinus,strain=BC501,Modestobacter marinus,Modestobacter,Geodermatophilaceae,Geodermatophilales,Actinomycetia,Actinobacteria,Bacteria
Mogibacterium diversum,strain=CCUG 47132,Mogibacterium diversum,Mogibacterium,Clostridiales Family XIII. Incertae Sedis,Eubacteriales,Clostridia,Firmicutes,Bacteria
Moorea producens PAL-8-15-08-1,strain=PAL-8-15-08-1,Moorea producens,Moorea,Oscillatoriaceae,Oscillatoriales,,Cyanobacteria,Bacteria
Moorella thermoacetica,strain=DSM 103132,Moorella thermoacetica,Moorella,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria
Moraxella osloensis,strain=NP7,Moraxella osloensis,Moraxella,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Morganella morganii,strain=AR_0057,Morganella morganii,Morganella,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
Moritella marina ATCC 15381,strain=MP-1,Moritella marina,Moritella,Moritellaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
Mucilaginibacter rubeus,strain=P2-22.5,Mucilaginibacter rubeus,Mucilaginibacter,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidetes,Bacteria
Murdochiella vaginalis,,Murdochiella vaginalis,Murdochiella,Peptoniphilaceae,Tissierellales,Tissierellia,Firmicutes,Bacteria
Muribaculum intestinale,strain=YL27,Muribaculum intestinale,Muribaculum,Muribaculaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
Muricauda lutaonensis,strain=CC-HSB-11,Muricauda lutaonensis,Muricauda,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Mycetohabitans rhizoxinica HKI 454,strain=HKI 454,Mycetohabitans rhizoxinica,Mycetohabitans,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Mycoavidus cysteinexigens,strain=B1EB,Mycoavidus cysteinexigens,Mycoavidus,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
Mycobacterium tuberculosis,strain=NCGM946K2,Mycobacterium tuberculosis,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia,Actinobacteria,Bacteria
Mycobacteroides abscessus,strain=FLAC006,Mycobacteroides abscessus,Mycobacteroides,Mycobacteriaceae,Corynebacteriales,Actinomycetia,Actinobacteria,Bacteria
Mycolicibacillus koreensis,strain=JCM 19956,Mycolicibacillus koreensis,Mycolicibacillus,Mycobacteriaceae,Corynebacteriales,Actinomycetia,Actinobacteria,Bacteria
Mycolicibacter terrae,strain=JCM 12143,Mycolicibacter terrae,Mycolicibacter,Mycobacteriaceae,Corynebacteriales,Actinomycetia,Actinobacteria,Bacteria
Mycolicibacterium neoaurum,strain=HGMS2,Mycolicibacterium neoaurum,Mycolicibacterium,Mycobacteriaceae,Corynebacteriales,Actinomycetia,Actinobacteria,Bacteria
Mycoplasma hominis,strain=Sprott,Mycoplasma hominis,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
Mycoplasma arginini,strain=HAZ145_1,Mycoplasma arginini,Mycoplasmopsis,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
Myroides odoratus,strain=FDAARGOS_1132,Myroides odoratus,Myroides,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
Myxococcus xanthus,strain=GH5.1.9c20,Myxococcus xanthus,Myxococcus,Myxococcaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,Bacteria
Nakamurella sp. s14-144,strain=S14-144,Nakamurella sp. s14-144,Nakamurella,Nakamurellaceae,Nakamurellales,Actinomycetia,Actinobacteria,Bacteria
Natranaerobius thermophilus JW/NM-WN-LF,strain=JW/NM-WN-LF,Natranaerobius thermophilus,Natranaerobius,Natranaerobiaceae,Natranaerobiales,Clostridia,Firmicutes,Bacteria
Natrarchaeobaculum aegyptiacum,strain=JW/NM-HA 15,Natrarchaeobaculum aegyptiacum,Natrarchaeobaculum,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea
Natrialba magadii ATCC 43099,strain=ATCC 43099,Natrialba magadii,Natrialba,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea
Natrinema pallidum,strain=BOL6-1,Natrinema pallidum,Natrinema,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea
Natronobacterium gregoryi SP2,strain=SP2,Natronobacterium gregoryi,Natronobacterium,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea
Natronococcus occultus SP4,strain=SP4,Natronococcus occultus,Natronococcus,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea
Natronomonas halophila,strain=C90,Natronomonas halophila,Natronomonas,Haloarculaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea
Natronorubrum bangense,strain=JCM 10635,Natronorubrum bangense,Natronorubrum,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea
Nautilia profundicola AmH,strain=AmH,Nautilia profundicola,Nautilia,Nautiliaceae,Nautiliales,Epsilonproteobacteria,Proteobacteria,Bacteria
Ndongobacter massiliensis,strain=Marseille-P3170T,Ndongobacter massiliensis,Ndongobacter,,,,Firmicutes,Bacteria
Neisseria gonorrhoeae,strain=NJ1711654,Neisseria gonorrhoeae,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria
